,Kanton,NoOFS,Gemeinde,Region
0,BE,301,Aarberg,2
1,BE,321,Aarwangen,3
2,BE,561,Adelboden,3
3,BE,401,Aefligen,2
4,BE,731,Aegerten,2
5,BE,562,Aeschi bei Spiez,3
6,BE,951,Affoltern im Emmental,3
7,BE,402,Alchenstorf,2
8,BE,630,Allmendingen,2
9,BE,921,Amsoldingen,2
10,BE,381,Arch,2
11,BE,602,Arni (BE),2
12,BE,971,Attiswil,3
13,BE,322,Auswil,3
14,BE,323,Bannwil,3
15,BE,302,Bargen (BE),2
16,BE,403,Bäriswil,2
17,BE,533,Bätterkinden,2
18,BE,571,Beatenberg,3
19,BE,732,Bellmund,2
20,BE,861,Belp,2
21,BE,681,Belprahon,2
22,BE,972,Berken,3
23,BE,351,Bern,1
24,BE,973,Bettenhausen,3
25,BE,371,Biel/Bienne,1
26,BE,603,Biglen,2
27,BE,324,Bleienbach,3
28,BE,922,Blumenstein,2
29,BE,352,Bolligen,1
30,BE,791,Boltigen,3
31,BE,572,Bönigen,3
32,BE,605,Bowil,2
33,BE,353,Bremgarten bei Bern,1
34,BE,606,Brenzikofen,2
35,BE,573,Brienz (BE),3
36,BE,574,Brienzwiler,3
37,BE,733,Brügg,2
38,BE,491,Brüttelen,2
39,BE,923,Buchholterberg,2
40,BE,382,Büetigen,2
41,BE,734,Bühl,2
42,BE,383,Büren an der Aare,2
43,BE,404,Burgdorf,2
44,BE,863,Burgistein,2
45,BE,325,Busswil bei Melchnau,3
46,BE,683,Champoz,2
47,BE,687,Corcelles (BE),2
48,BE,431,Corgémont,2
49,BE,432,Cormoret,2
50,BE,433,Cortébert,2
51,BE,690,Court,2
52,BE,434,Courtelary,2
53,BE,691,Crémines,2
54,BE,575,Därligen,3
55,BE,761,Därstetten,3
56,BE,535,Deisswil bei Münchenbuchsee,2
57,BE,762,Diemtigen,3
58,BE,385,Diessbach bei Büren,2
59,BE,386,Dotzigen,2
60,BE,952,Dürrenroth,3
61,BE,901,Eggiwil,3
62,BE,735,Epsach,2
63,BE,953,Eriswil,3
64,BE,924,Eriz,2
65,BE,492,Erlach,2
66,BE,763,Erlenbach im Simmental,3
67,BE,405,Ersigen,2
68,BE,692,Eschert,2
69,BE,372,Évilard,1
70,BE,925,Fahrni,2
71,BE,975,Farnern,3
72,BE,662,Ferenbalm,2
73,BE,493,Finsterhennen,2
74,BE,948,Forst-Längenbühl,2
75,BE,538,Fraubrunnen,2
76,BE,663,Frauenkappelen,2
77,BE,607,Freimettigen,2
78,BE,563,Frutigen,3
79,BE,494,Gals,2
80,BE,495,Gampelen,2
81,BE,866,Gerzensee,2
82,BE,326,Gondiswil,3
83,BE,976,Graben,3
84,BE,694,Grandval,2
85,BE,576,Grindelwald,3
86,BE,303,Grossaffoltern,2
87,BE,608,Grosshöchstetten,2
88,BE,841,Gsteig,3
89,BE,577,Gsteigwiler,3
90,BE,852,Guggisberg,2
91,BE,578,Gündlischwand,3
92,BE,665,Gurbrü,2
93,BE,867,Gurzelen,2
94,BE,782,Guttannen,3
95,BE,579,Habkern,3
96,BE,736,Hagneck,2
97,BE,406,Hasle bei Burgdorf,2
98,BE,783,Hasliberg,3
99,BE,609,Häutligen,2
100,BE,927,Heiligenschwendi,2
101,BE,928,Heimberg,2
102,BE,977,Heimenhausen,3
103,BE,407,Heimiswil,2
104,BE,408,Hellsau,2
105,BE,610,Herbligen,2
106,BE,737,Hermrigen,2
107,BE,979,Herzogenbuchsee,3
108,BE,929,Hilterfingen,2
109,BE,409,Hindelbank,2
110,BE,410,Höchstetten,2
111,BE,580,Hofstetten bei Brienz,3
112,BE,931,Homberg,2
113,BE,932,Horrenbach-Buchen,2
114,BE,954,Huttwil,3
115,BE,541,Iffwil,2
116,BE,980,Inkwil,3
117,BE,784,Innertkirchen,3
118,BE,496,Ins,2
119,BE,581,Interlaken,3
120,BE,739,Ipsach,2
121,BE,582,Iseltwald,3
122,BE,362,Ittigen,1
123,BE,868,Jaberg,2
124,BE,540,Jegenstorf,2
125,BE,738,Jens,2
126,BE,304,Kallnach,2
127,BE,564,Kandergrund,3
128,BE,565,Kandersteg,3
129,BE,305,Kappelen,2
130,BE,869,Kaufdorf,2
131,BE,870,Kehrsatz,2
132,BE,411,Kernenried,2
133,BE,611,Kiesen,2
134,BE,412,Kirchberg (BE),2
135,BE,872,Kirchdorf (BE),2
136,BE,354,Kirchlindach,1
137,BE,355,Köniz,1
138,BE,612,Konolfingen,2
139,BE,413,Koppigen,2
140,BE,566,Krattigen,3
141,BE,414,Krauchthal,2
142,BE,666,Kriechenwil,2
143,BE,435,La Ferrière,2
144,BE,723,La Neuveville,2
145,BE,613,Landiswil,2
146,BE,329,Langenthal,3
147,BE,902,Langnau im Emmental,3
148,BE,842,Lauenen,3
149,BE,667,Laupen,2
150,BE,903,Lauperswil,3
151,BE,584,Lauterbrunnen,3
152,BE,585,Leissigen,3
153,BE,387,Lengnau (BE),2
154,BE,792,Lenk,3
155,BE,388,Leuzigen,2
156,BE,740,Ligerz,2
157,BE,614,Linden,2
158,BE,331,Lotzwil,3
159,BE,696,Loveresse,2
160,BE,497,Lüscherz,2
161,BE,586,Lütschental,3
162,BE,955,Lützelflüh,3
163,BE,306,Lyss,2
164,BE,415,Lyssach,2
165,BE,332,Madiswil,3
166,BE,587,Matten bei Interlaken,3
167,BE,543,Mattstetten,2
168,BE,389,Meienried,2
169,BE,307,Meikirch,2
170,BE,390,Meinisberg,2
171,BE,785,Meiringen,3
172,BE,333,Melchnau,3
173,BE,741,Merzligen,2
174,BE,615,Mirchel,2
175,BE,437,Mont-Tramelan,2
176,BE,544,Moosseedorf,2
177,BE,742,Mörigen,2
178,BE,700,Moutier,2
179,BE,668,Mühleberg,2
180,BE,546,Münchenbuchsee,2
181,BE,669,Münchenwiler,2
182,BE,616,Münsingen,2
183,BE,498,Müntschemier,2
184,BE,356,Muri bei Bern,1
185,BE,670,Neuenegg,2
186,BE,743,Nidau,2
187,BE,981,Niederbipp,3
188,BE,617,Niederhünigen,2
189,BE,877,Niedermuhlern,2
190,BE,982,Niederönz,3
191,BE,588,Niederried bei Interlaken,3
192,BE,724,Nods,2
193,BE,357,Oberbalm,1
194,BE,983,Oberbipp,3
195,BE,418,Oberburg,2
196,BE,619,Oberdiessbach,2
197,BE,934,Oberhofen am Thunersee,2
198,BE,629,Oberhünigen,2
199,BE,935,Oberlangenegg,2
200,BE,589,Oberried am Brienzersee,3
201,BE,620,Oberthal,2
202,BE,391,Oberwil bei Büren,2
203,BE,766,Oberwil im Simmental,3
204,BE,985,Ochlenberg,3
205,BE,335,Oeschenbach,3
206,BE,622,Oppligen,2
207,BE,744,Orpund,2
208,BE,438,Orvin,2
209,BE,363,Ostermundigen,1
210,BE,701,Perrefitte,2
211,BE,450,Péry-La Heutte,2
212,BE,716,Petit-Val,2
213,BE,392,Pieterlen,2
214,BE,726,Plateau de Diesse,2
215,BE,936,Pohlern,2
216,BE,745,Port,2
217,BE,309,Radelfingen,2
218,BE,310,Rapperswil (BE),2
219,BE,715,Rebévelier,2
220,BE,703,Reconvilier,2
221,BE,567,Reichenbach im Kandertal,3
222,BE,336,Reisiswil,3
223,BE,441,Renan (BE),2
224,BE,767,Reutigen,3
225,BE,879,Riggisberg,2
226,BE,590,Ringgenberg (BE),3
227,BE,704,Roches (BE),2
228,BE,337,Roggwil (BE),3
229,BE,338,Rohrbach,3
230,BE,339,Rohrbachgraben,3
231,BE,442,Romont (BE),2
232,BE,904,Röthenbach im Emmental,3
233,BE,623,Rubigen,2
234,BE,905,Rüderswil,3
235,BE,420,Rüdtligen-Alchenflüh,2
236,BE,880,Rüeggisberg,2
237,BE,956,Rüegsau,3
238,BE,421,Rumendingen,2
239,BE,987,Rumisberg,3
240,BE,853,Rüschegg,2
241,BE,393,Rüti bei Büren,2
242,BE,422,Rüti bei Lyssach,2
243,BE,340,Rütschelen,3
244,BE,843,Saanen,3
245,BE,746,Safnern,2
246,BE,706,Saicourt,2
247,BE,443,Saint-Imier,2
248,BE,449,Sauge,2
249,BE,707,Saules (BE),2
250,BE,591,Saxeten,3
251,BE,906,Schangnau,3
252,BE,786,Schattenhalb,3
253,BE,708,Schelten,2
254,BE,747,Scheuren,2
255,BE,311,Schüpfen,2
256,BE,748,Schwadernau,2
257,BE,592,Schwanden bei Brienz,3
258,BE,855,Schwarzenburg,2
259,BE,341,Schwarzhäusern,3
260,BE,988,Seeberg,3
261,BE,312,Seedorf (BE),2
262,BE,709,Seehof,2
263,BE,883,Seftigen,2
264,BE,907,Signau,3
265,BE,938,Sigriswil,2
266,BE,499,Siselen,2
267,BE,444,Sonceboz-Sombeval,2
268,BE,445,Sonvilier,2
269,BE,711,Sorvilier,2
270,BE,768,Spiez,3
271,BE,793,St. Stephan,3
272,BE,939,Steffisburg,2
273,BE,358,Stettlen,1
274,BE,770,Stocken-Höfen,3
275,BE,749,Studen (BE),2
276,BE,957,Sumiswald,3
277,BE,750,Sutz-Lattrigen,2
278,BE,751,Täuffelen,2
279,BE,713,Tavannes,2
280,BE,940,Teuffenthal (BE),2
281,BE,941,Thierachern,2
282,BE,989,Thörigen,3
283,BE,942,Thun,2
284,BE,342,Thunstetten,3
285,BE,889,Thurnen,2
286,BE,884,Toffen,2
287,BE,958,Trachselwald,3
288,BE,446,Tramelan,2
289,BE,500,Treiten,2
290,BE,908,Trub,3
291,BE,909,Trubschachen,3
292,BE,501,Tschugg,2
293,BE,756,Twann-Tüscherz,2
294,BE,943,Uebeschi,2
295,BE,944,Uetendorf,2
296,BE,945,Unterlangenegg,2
297,BE,593,Unterseen,3
298,BE,344,Ursenbach,3
299,BE,551,Urtenen-Schönbühl,2
300,BE,885,Uttigen,2
301,BE,552,Utzenstorf,2
302,BE,717,Valbirse,2
303,BE,359,Vechigen,1
304,BE,448,Villeret,2
305,BE,502,Vinelz,2
306,BE,946,Wachseldorn,2
307,BE,888,Wald (BE),2
308,BE,626,Walkringen,2
309,BE,990,Walliswil bei Niederbipp,3
310,BE,991,Walliswil bei Wangen,3
311,BE,754,Walperswil,2
312,BE,959,Walterswil (BE),3
313,BE,992,Wangen an der Aare,3
314,BE,993,Wangenried,3
315,BE,886,Wattenwil,2
316,BE,394,Wengi,2
317,BE,632,Wichtrach,2
318,BE,995,Wiedlisbach,3
319,BE,553,Wiggiswil,2
320,BE,594,Wilderswil,3
321,BE,554,Wiler bei Utzenstorf,2
322,BE,671,Wileroltigen,2
323,BE,423,Willadingen,2
324,BE,769,Wimmis,3
325,BE,360,Wohlen bei Bern,1
326,BE,627,Worb,2
327,BE,755,Worben,2
328,BE,345,Wynau,3
329,BE,424,Wynigen,2
330,BE,960,Wyssachen,3
331,BE,628,Zäziwil,2
332,BE,556,Zielebach,2
333,BE,361,Zollikofen,1
334,BE,557,Zuzwil (BE),2
335,BE,794,Zweisimmen,3
336,BE,947,Zwieselberg,2
337,BL,2761,Aesch (BL),1
338,BL,2762,Allschwil,1
339,BL,2841,Anwil,2
340,BL,2881,Arboldswil,2
341,BL,2821,Arisdorf,2
342,BL,2763,Arlesheim,1
343,BL,2822,Augst,2
344,BL,2882,Bennwil,2
345,BL,2764,Biel-Benken,1
346,BL,2765,Binningen,1
347,BL,2766,Birsfelden,1
348,BL,2781,Blauen,2
349,BL,2842,Böckten,2
350,BL,2767,Bottmingen,1
351,BL,2883,Bretzwil,2
352,BL,2782,Brislach,2
353,BL,2823,Bubendorf,1
354,BL,2843,Buckten,2
355,BL,2783,Burg im Leimental,2
356,BL,2844,Buus,2
357,BL,2884,Diegten,2
358,BL,2845,Diepflingen,2
359,BL,2784,Dittingen,2
360,BL,2785,Duggingen,2
361,BL,2885,Eptingen,2
362,BL,2768,Ettingen,1
363,BL,2824,Frenkendorf,1
364,BL,2825,Füllinsdorf,1
365,BL,2846,Gelterkinden,2
366,BL,2826,Giebenach,2
367,BL,2786,Grellingen,2
368,BL,2847,Häfelfingen,2
369,BL,2848,Hemmiken,2
370,BL,2827,Hersberg,2
371,BL,2886,Hölstein,2
372,BL,2849,Itingen,2
373,BL,2850,Känerkinden,2
374,BL,2851,Kilchberg (BL),2
375,BL,2887,Lampenberg,2
376,BL,2888,Langenbruck,2
377,BL,2852,Läufelfingen,2
378,BL,2787,Laufen,2
379,BL,2828,Lausen,1
380,BL,2889,Lauwil,2
381,BL,2890,Liedertswil,2
382,BL,2788,Liesberg,2
383,BL,2829,Liestal,1
384,BL,2830,Lupsingen,2
385,BL,2853,Maisprach,2
386,BL,2769,Münchenstein,1
387,BL,2770,Muttenz,1
388,BL,2789,Nenzlingen,2
389,BL,2891,Niederdorf,2
390,BL,2854,Nusshof,2
391,BL,2892,Oberdorf (BL),2
392,BL,2771,Oberwil (BL),1
393,BL,2855,Oltingen,2
394,BL,2856,Ormalingen,2
395,BL,2772,Pfeffingen,1
396,BL,2831,Pratteln,1
397,BL,2832,Ramlinsburg,2
398,BL,2893,Reigoldswil,2
399,BL,2773,Reinach (BL),1
400,BL,2857,Rickenbach (BL),2
401,BL,2790,Roggenburg,2
402,BL,2791,Röschenz,2
403,BL,2858,Rothenfluh,2
404,BL,2859,Rümlingen,2
405,BL,2860,Rünenberg,2
406,BL,2774,Schönenbuch,1
407,BL,2833,Seltisberg,2
408,BL,2861,Sissach,2
409,BL,2862,Tecknau,2
410,BL,2863,Tenniken,2
411,BL,2775,Therwil,1
412,BL,2864,Thürnen,2
413,BL,2894,Titterten,2
414,BL,2792,Wahlen,2
415,BL,2895,Waldenburg,2
416,BL,2865,Wenslingen,2
417,BL,2866,Wintersingen,2
418,BL,2867,Wittinsburg,2
419,BL,2868,Zeglingen,2
420,BL,2834,Ziefen,2
421,BL,2869,Zunzgen,2
422,BL,2793,Zwingen,2
423,FR,2321,Attalens,2
424,FR,2061,Auboranges,2
425,FR,2173,Autigny,1
426,FR,2174,Avry,1
427,FR,2162,Bas-Intyamon,2
428,FR,2175,Belfaux,1
429,FR,2053,Belmont-Broye,2
430,FR,2063,Billens-Hennens,2
431,FR,2238,Bois-d’Amont,1
432,FR,2295,Bösingen,2
433,FR,2323,Bossonnens,2
434,FR,2123,Botterens,2
435,FR,2124,Broc,2
436,FR,2292,Brünisried,2
437,FR,2125,Bulle,2
438,FR,2066,Chapelle (Glâne),2
439,FR,2325,Châtel-Saint-Denis,2
440,FR,2128,Châtel-sur-Montsalvens,2
441,FR,2008,Châtillon (FR),2
442,FR,2068,Châtonnaye,2
443,FR,2177,Chénens,1
444,FR,2055,Cheyres-Châbles,2
445,FR,2129,Corbières,2
446,FR,2183,Corminboeuf,1
447,FR,2186,Cottens (FR),1
448,FR,2250,Courgevaux,2
449,FR,2254,Courtepin,2
450,FR,2257,Cressier (FR),2
451,FR,2130,Crésuz,2
452,FR,2011,Cugy (FR),2
453,FR,2051,Delley-Portalban,2
454,FR,2293,Düdingen,2
455,FR,2131,Écharlens,2
456,FR,2072,Écublens (FR),2
457,FR,2054,Estavayer,2
458,FR,2194,Ferpicloz,1
459,FR,2016,Fétigny,2
460,FR,2258,Fräschels,2
461,FR,2196,Fribourg,1
462,FR,2236,Gibloux,1
463,FR,2294,Giffers,2
464,FR,2197,Givisiez,1
465,FR,2022,Gletterens,2
466,FR,2134,Grandvillard,2
467,FR,2328,Granges (Veveyse),2
468,FR,2198,Granges-Paccot,1
469,FR,2079,Grangettes,2
470,FR,2261,Greng,2
471,FR,2200,Grolley,1
472,FR,2135,Gruyères,2
473,FR,2262,Gurmels,2
474,FR,2233,Hauterive (FR),1
475,FR,2137,Hauteville,2
476,FR,2121,Haut-Intyamon,2
477,FR,2296,Heitenried,2
478,FR,2138,Jaun,2
479,FR,2265,Kerzers,2
480,FR,2266,Kleinbösingen,2
481,FR,2234,La Brillaz,1
482,FR,2149,La Roche,2
483,FR,2235,La Sonnaz,1
484,FR,2338,La Verrerie,2
485,FR,2067,Le Châtelard,2
486,FR,2337,Le Flon,2
487,FR,2220,Le Mouret,1
488,FR,2145,Le Pâquier (FR),2
489,FR,2050,Les Montets,2
490,FR,2025,Lully (FR),2
491,FR,2206,Marly,1
492,FR,2140,Marsens,2
493,FR,2086,Massonnens,2
494,FR,2208,Matran,1
495,FR,2027,Ménières,2
496,FR,2271,Meyriez,2
497,FR,2087,Mézières (FR),2
498,FR,2272,Misery-Courtion,2
499,FR,2029,Montagny (FR),2
500,FR,2089,Montet (Glâne),2
501,FR,2284,Mont-Vully,2
502,FR,2143,Morlon,2
503,FR,2274,Muntelier,2
504,FR,2275,Murten,2
505,FR,2211,Neyruz (FR),1
506,FR,2035,Nuvilly,2
507,FR,2216,Pierrafortscha,1
508,FR,2299,Plaffeien,2
509,FR,2300,Plasselb,2
510,FR,2122,Pont-en-Ogoz,2
511,FR,2217,Ponthaux,1
512,FR,2147,Pont-la-Ville,2
513,FR,2038,Prévondavaux,2
514,FR,2237,Prez,1
515,FR,2301,Rechthalten,2
516,FR,2333,Remaufens,2
517,FR,2148,Riaz,2
518,FR,2276,Ried bei Kerzers,2
519,FR,2096,Romont (FR),2
520,FR,2097,Rue,2
521,FR,2041,Saint-Aubin (FR),2
522,FR,2335,Saint-Martin (FR),2
523,FR,2152,Sâles,2
524,FR,2305,Schmitten (FR),2
525,FR,2336,Semsales,2
526,FR,2043,Sévaz,2
527,FR,2099,Siviriez,2
528,FR,2153,Sorens,2
529,FR,2303,St. Silvester,2
530,FR,2304,St. Ursen,2
531,FR,2044,Surpierre,2
532,FR,2306,Tafers,2
533,FR,2307,Tentlingen,2
534,FR,2115,Torny,2
535,FR,2226,Treyvaux,1
536,FR,2308,Ueberstorf,2
537,FR,2278,Ulmiz,2
538,FR,2102,Ursy,2
539,FR,2163,Val-de-Charmey,2
540,FR,2045,Vallon,2
541,FR,2155,Vaulruz,2
542,FR,2230,Villarsel-sur-Marly,1
543,FR,2228,Villars-sur-Glâne,1
544,FR,2117,Villaz,2
545,FR,2114,Villorsonnens,2
546,FR,2160,Vuadens,2
547,FR,2113,Vuisternens-devant-Romont,2
548,FR,2309,Wünnewil-Flamatt,2
549,GR,3542,Albula/Alvra,3
550,GR,3701,Andeer,3
551,GR,3921,Arosa,1
552,GR,3681,Avers,3
553,GR,3544,Bergün Filisur,3
554,GR,3781,Bever,2
555,GR,3721,Bonaduz,2
556,GR,3792,Bregaglia,2
557,GR,3981,Breil/Brigels,3
558,GR,3551,Brusio,2
559,GR,3804,Buseno,1
560,GR,3837,Calanca,1
561,GR,3831,Cama,1
562,GR,3805,Castaneda,1
563,GR,3661,Cazis,3
564,GR,3782,Celerina/Schlarigna,2
565,GR,3901,Chur,1
566,GR,3911,Churwalden,1
567,GR,3881,Conters im Prättigau,2
568,GR,3851,Davos,2
569,GR,3982,Disentis/Mustér,3
570,GR,3722,Domat/Ems,2
571,GR,3673,Domleschg,3
572,GR,3572,Falera,3
573,GR,3731,Felsberg,2
574,GR,3713,Ferrera,3
575,GR,3861,Fideris,2
576,GR,3951,Fläsch,2
577,GR,3662,Flerden,3
578,GR,3732,Flims,2
579,GR,3862,Furna,2
580,GR,3633,Fürstenau,3
581,GR,3832,Grono,1
582,GR,3961,Grüsch,2
583,GR,3619,Ilanz/Glion,3
584,GR,3863,Jenaz,2
585,GR,3952,Jenins,2
586,GR,3871,Klosters,2
587,GR,3882,Küblis,2
588,GR,3785,La Punt Chamues-ch,2
589,GR,3575,Laax,3
590,GR,3955,Landquart,2
591,GR,3513,Lantsch/Lenz,3
592,GR,3821,Lostallo,1
593,GR,3618,Lumnezia,3
594,GR,3891,Luzein,2
595,GR,3783,Madulain,2
596,GR,3953,Maienfeld,2
597,GR,3954,Malans,2
598,GR,3663,Masein,3
599,GR,3983,Medel (Lucmagn),3
600,GR,3822,Mesocco,1
601,GR,3715,Muntogna da Schons,3
602,GR,3988,Obersaxen Mundaun,3
603,GR,3784,Pontresina,2
604,GR,3561,Poschiavo,2
605,GR,3723,Rhäzüns,2
606,GR,3714,Rheinwald,3
607,GR,3711,Rongellen,3
608,GR,3808,Rossa,1
609,GR,3637,Rothenbrunnen,3
610,GR,3834,Roveredo (GR),1
611,GR,3672,Safiental,3
612,GR,3581,Sagogn,3
613,GR,3786,Samedan,2
614,GR,3752,Samnaun,2
615,GR,3835,San Vittore,1
616,GR,3810,Santa Maria in Calanca,1
617,GR,3788,S-chanf,2
618,GR,3638,Scharans,3
619,GR,3962,Schiers,2
620,GR,3582,Schluein,3
621,GR,3514,Schmitten (GR),3
622,GR,3762,Scuol,2
623,GR,3972,Seewis im Prättigau,2
624,GR,3640,Sils im Domleschg,3
625,GR,3789,Sils im Engadin/Segl,2
626,GR,3790,Silvaplana,2
627,GR,3823,Soazza,1
628,GR,3787,St. Moritz,2
629,GR,3695,Sufers,3
630,GR,3985,Sumvitg,3
631,GR,3543,Surses,3
632,GR,3733,Tamins,2
633,GR,3668,Thusis,3
634,GR,3945,Trimmis,2
635,GR,3734,Trin,2
636,GR,3987,Trun,3
637,GR,3669,Tschappina,3
638,GR,3932,Tschiertschen-Praden,1
639,GR,3986,Tujetsch,3
640,GR,3946,Untervaz,2
641,GR,3670,Urmein,3
642,GR,3847,Val Müstair,2
643,GR,3603,Vals,3
644,GR,3764,Valsot,2
645,GR,3506,Vaz/Obervaz,3
646,GR,3746,Zernez,2
647,GR,3712,Zillis-Reischen,3
648,GR,3947,Zizers,2
649,GR,3791,Zuoz,2
650,LU,1051,Adligenswil,2
651,LU,1021,Aesch (LU),3
652,LU,1121,Alberswil,3
653,LU,1122,Altbüron,3
654,LU,1123,Altishofen,3
655,LU,1023,Ballwil,3
656,LU,1081,Beromünster,3
657,LU,1052,Buchrain,2
658,LU,1082,Büron,3
659,LU,1083,Buttisholz,3
660,LU,1125,Dagmersellen,3
661,LU,1053,Dierikon,2
662,LU,1001,Doppleschwand,3
663,LU,1054,Ebikon,1
664,LU,1127,Egolzwil,3
665,LU,1084,Eich,2
666,LU,1024,Emmen,1
667,LU,1002,Entlebuch,3
668,LU,1025,Ermensee,3
669,LU,1026,Eschenbach (LU),3
670,LU,1010,Escholzmatt-Marbach,3
671,LU,1128,Ettiswil,3
672,LU,1129,Fischbach,3
673,LU,1004,Flühli,3
674,LU,1085,Geuensee,3
675,LU,1055,Gisikon,3
676,LU,1056,Greppen,3
677,LU,1131,Grossdietwil,3
678,LU,1086,Grosswangen,3
679,LU,1005,Hasle (LU),3
680,LU,1132,Hergiswil bei Willisau,3
681,LU,1088,Hildisrieden,3
682,LU,1030,Hitzkirch,3
683,LU,1031,Hochdorf,3
684,LU,1032,Hohenrain,3
685,LU,1057,Honau,3
686,LU,1058,Horw,1
687,LU,1033,Inwil,3
688,LU,1089,Knutwil,3
689,LU,1059,Kriens,1
690,LU,1135,Luthern,3
691,LU,1061,Luzern,1
692,LU,1062,Malters,2
693,LU,1091,Mauensee,3
694,LU,1063,Meggen,2
695,LU,1064,Meierskappel,2
696,LU,1136,Menznau,3
697,LU,1137,Nebikon,3
698,LU,1093,Neuenkirch,2
699,LU,1094,Nottwil,2
700,LU,1095,Oberkirch,2
701,LU,1139,Pfaffnau,3
702,LU,1037,Rain,3
703,LU,1140,Reiden,3
704,LU,1097,Rickenbach (LU),3
705,LU,1142,Roggliswil,3
706,LU,1039,Römerswil,3
707,LU,1007,Romoos,3
708,LU,1065,Root,2
709,LU,1040,Rothenburg,2
710,LU,1098,Ruswil,2
711,LU,1099,Schenkon,2
712,LU,1100,Schlierbach,3
713,LU,1041,Schongau,3
714,LU,1143,Schötz,3
715,LU,1008,Schüpfheim,3
716,LU,1066,Schwarzenberg,3
717,LU,1102,Sempach,2
718,LU,1103,Sursee,2
719,LU,1104,Triengen,3
720,LU,1067,Udligenswil,2
721,LU,1145,Ufhusen,3
722,LU,1068,Vitznau,3
723,LU,1146,Wauwil,3
724,LU,1069,Weggis,3
725,LU,1009,Werthenstein,2
726,LU,1147,Wikon,3
727,LU,1151,Willisau,3
728,LU,1107,Wolhusen,2
729,LU,1150,Zell (LU),3
730,SG,3251,Altstätten,3
731,SG,3311,Amden,2
732,SG,3441,Andwil (SG),2
733,SG,3231,Au (SG),2
734,SG,3291,Bad Ragaz,2
735,SG,3232,Balgach,3
736,SG,3312,Benken (SG),2
737,SG,3211,Berg (SG),2
738,SG,3233,Berneck,3
739,SG,3271,Buchs (SG),2
740,SG,3395,Bütschwil-Ganterschwil,3
741,SG,3401,Degersheim,3
742,SG,3234,Diepoldsau,3
743,SG,3352,Ebnat-Kappel,3
744,SG,3212,Eggersriet,2
745,SG,3252,Eichberg,3
746,SG,3342,Eschenbach (SG),2
747,SG,3402,Flawil,2
748,SG,3292,Flums,2
749,SG,3442,Gaiserwald,1
750,SG,3272,Gams,3
751,SG,3213,Goldach,2
752,SG,3341,Gommiswald,2
753,SG,3443,Gossau (SG),1
754,SG,3273,Grabs,3
755,SG,3201,Häggenschwil,2
756,SG,3405,Jonschwil,2
757,SG,3313,Kaltbrunn,2
758,SG,3392,Kirchberg (SG),2
759,SG,3374,Lichtensteig,3
760,SG,3393,Lütisburg,3
761,SG,3253,Marbach (SG),3
762,SG,3293,Mels,2
763,SG,3214,Mörschwil,2
764,SG,3394,Mosnang,3
765,SG,3202,Muolen,2
766,SG,3396,Neckertal,3
767,SG,3360,Nesslau,3
768,SG,3422,Niederbüren,1
769,SG,3423,Niederhelfenschwil,1
