,Kanton,NoOFS,Gemeinde,Region
770,SG,3424,Oberbüren,1
771,SG,3254,Oberriet (SG),3
772,SG,3407,Oberuzwil,2
773,SG,3294,Pfäfers,2
774,SG,3295,Quarten,2
775,SG,3340,Rapperswil-Jona,2
776,SG,3255,Rebstein,3
777,SG,3235,Rheineck,2
778,SG,3215,Rorschach,2
779,SG,3216,Rorschacherberg,2
780,SG,3256,Rüthi (SG),3
781,SG,3296,Sargans,2
782,SG,3315,Schänis,2
783,SG,3338,Schmerikon,2
784,SG,3274,Sennwald,3
785,SG,3275,Sevelen,2
786,SG,3203,St. Gallen,1
787,SG,3236,St. Margrethen,2
788,SG,3217,Steinach,2
789,SG,3237,Thal,2
790,SG,3218,Tübach,2
791,SG,3219,Untereggen,2
792,SG,3339,Uznach,2
793,SG,3408,Uzwil,2
794,SG,3297,Vilters-Wangs,2
795,SG,3444,Waldkirch,2
796,SG,3298,Walenstadt,2
797,SG,3276,Wartau,2
798,SG,3379,Wattwil,3
799,SG,3316,Weesen,2
800,SG,3238,Widnau,3
801,SG,3427,Wil (SG),1
802,SG,3359,Wildhaus-Alt St. Johann,3
803,SG,3204,Wittenbach,2
804,SG,3426,Zuzwil (SG),1
805,SH,2931,Bargen (SH),2
806,SH,2951,Beggingen,2
807,SH,2932,Beringen,2
808,SH,2961,Buch (SH),2
809,SH,2933,Buchberg,2
810,SH,2914,Büttenhardt,2
811,SH,2915,Dörflingen,2
812,SH,2901,Gächlingen,2
813,SH,2971,Hallau,2
814,SH,2962,Hemishofen,2
815,SH,2917,Lohn (SH),2
816,SH,2903,Löhningen,2
817,SH,2936,Merishausen,2
818,SH,2937,Neuhausen am Rheinfall,1
819,SH,2904,Neunkirch,2
820,SH,2972,Oberhallau,2
821,SH,2963,Ramsen,2
822,SH,2938,Rüdlingen,2
823,SH,2939,Schaffhausen,1
824,SH,2952,Schleitheim,2
825,SH,2953,Siblingen,2
826,SH,2964,Stein am Rhein,2
827,SH,2919,Stetten (SH),2
828,SH,2920,Thayngen,2
829,SH,2973,Trasadingen,2
830,SH,2974,Wilchingen,2
831,TI,5048,Acquarossa,2
832,TI,5141,Agno,1
833,TI,5061,Airolo,2
834,TI,5237,Alto Malcantone,1
835,TI,5143,Aranno,1
836,TI,5001,Arbedo-Castione,1
837,TI,5144,Arogno,1
838,TI,5091,Ascona,1
839,TI,5146,Astano,1
840,TI,5324,Avegno Gordevio,2
841,TI,5242,Balerna,1
842,TI,5148,Bedano,1
843,TI,5149,Bedigliora,1
844,TI,5063,Bedretto,2
845,TI,5002,Bellinzona,1
846,TI,5281,Biasca,2
847,TI,5151,Bioggio,1
848,TI,5154,Bissone,1
849,TI,5049,Blenio,2
850,TI,5064,Bodio,2
851,TI,5304,Bosco/Gurin,2
852,TI,5269,Breggia,1
853,TI,5096,Brione sopra Minusio,2
854,TI,5097,Brissago,1
855,TI,5160,Brusino Arsizio,1
856,TI,5161,Cademario,1
857,TI,5162,Cadempino,1
858,TI,5003,Cadenazzo,1
859,TI,5307,Campo (Vallemaggia),2
860,TI,5167,Canobbio,1
861,TI,5226,Capriasca,1
862,TI,5171,Caslano,1
863,TI,5249,Castel San Pietro,1
864,TI,5397,Centovalli,2
865,TI,5309,Cerentino,2
866,TI,5310,Cevio,2
867,TI,5250,Chiasso,1
868,TI,5251,Coldrerio,1
869,TI,5236,Collina d’Oro,1
870,TI,5176,Comano,1
871,TI,5138,Cugnasco-Gerra,2
872,TI,5180,Cureglia,1
873,TI,5181,Curio,1
874,TI,5071,Dalpe,2
875,TI,5072,Faido,2
876,TI,5398,Gambarogno,1
877,TI,5073,Giornico,2
878,TI,5108,Gordola,2
879,TI,5186,Grancia,1
880,TI,5187,Gravesano,1
881,TI,5009,Isone,1
882,TI,5189,Lamone,1
883,TI,5112,Lavertezzo,2
884,TI,5323,Lavizzara,2
885,TI,5315,Linescio,2
886,TI,5113,Locarno,1
887,TI,5115,Losone,1
888,TI,5192,Lugano,1
889,TI,5010,Lumino,1
890,TI,5317,Maggia,2
891,TI,5193,Magliaso,1
892,TI,5194,Manno,1
893,TI,5196,Massagno,1
894,TI,5198,Melide,1
895,TI,5254,Mendrisio,1
896,TI,5117,Mergoscia,2
897,TI,5199,Mezzovico-Vira,1
898,TI,5200,Miglieglia,1
899,TI,5118,Minusio,1
900,TI,5238,Monteceneri,1
901,TI,5257,Morbio Inferiore,1
902,TI,5203,Morcote,1
903,TI,5120,Muralto,1
904,TI,5205,Muzzano,1
905,TI,5206,Neggio,1
906,TI,5207,Novaggio,1
907,TI,5260,Novazzano,1
908,TI,5136,Onsernone,2
909,TI,5208,Origlio,1
910,TI,5121,Orselina,1
911,TI,5210,Paradiso,1
912,TI,5076,Personico,2
913,TI,5077,Pollegio,2
914,TI,5212,Ponte Capriasca,1
915,TI,5214,Porza,1
916,TI,5078,Prato (Leventina),2
917,TI,5216,Pura,1
918,TI,5079,Quinto,2
919,TI,5263,Riva San Vitale,1
920,TI,5287,Riviera,2
921,TI,5125,Ronco sopra Ascona,1
922,TI,5017,Sant’Antonino,1
923,TI,5221,Savosa,1
924,TI,5050,Serravalle,2
925,TI,5225,Sorengo,1
926,TI,5266,Stabio,1
927,TI,5131,Tenero-Contra,1
928,TI,5396,Terre di Pedemonte,2
929,TI,5227,Torricella-Taverne,1
930,TI,5239,Tresa,1
931,TI,5268,Vacallo,1
932,TI,5240,Val Mara,1
933,TI,5230,Vernate,1
934,TI,5399,Verzasca,2
935,TI,5231,Vezia,1
936,TI,5233,Vico Morcote,1
937,VD,5621,Aclens,1
938,VD,5742,Agiez,2
939,VD,5401,Aigle,2
940,VD,5851,Allaman,1
941,VD,5701,Arnex-sur-Nyon,1
942,VD,5743,Arnex-sur-Orbe,2
943,VD,5702,Arzier-Le Muids,1
944,VD,5511,Assens,2
945,VD,5422,Aubonne,1
946,VD,5451,Avenches,2
947,VD,5744,Ballaigues,2
948,VD,5423,Ballens,1
949,VD,5703,Bassins,1
950,VD,5745,Baulmes,2
951,VD,5746,Bavois,2
952,VD,5704,Begnins,1
953,VD,5581,Belmont-sur-Lausanne,1
954,VD,5902,Belmont-sur-Yverdon,2
955,VD,5512,Bercher,2
956,VD,5424,Berolle,1
957,VD,5471,Bettens,2
958,VD,5402,Bex,2
959,VD,5425,Bière,1
960,VD,5903,Bioley-Magnoux,2
961,VD,5892,Blonay - Saint-Légier,1
962,VD,5747,Bofflens,2
963,VD,5705,Bogis-Bossey,1
964,VD,5551,Bonvillars,2
965,VD,5706,Borex,1
966,VD,5514,Bottens,2
967,VD,5426,Bougy-Villars,1
968,VD,5661,Boulens,2
969,VD,5613,Bourg-en-Lavaux,1
970,VD,5472,Bournens,2
971,VD,5473,Boussens,2
972,VD,5622,Bremblens,1
973,VD,5515,Bretigny-sur-Morrens,2
974,VD,5748,Bretonnières,2
975,VD,5623,Buchillon,1
976,VD,5552,Bullet,2
977,VD,5852,Bursinel,1
978,VD,5853,Bursins,1
979,VD,5854,Burtigny,1
980,VD,5624,Bussigny,1
981,VD,5663,Bussy-sur-Moudon,2
982,VD,5904,Chamblon,2
983,VD,5553,Champagne,2
984,VD,5812,Champtauroz,2
985,VD,5905,Champvent,2
986,VD,5882,Chardonne,1
987,VD,5841,Château-d’Oex,2
988,VD,5707,Chavannes-de-Bogis,1
989,VD,5708,Chavannes-des-Bois,1
990,VD,5907,Chavannes-le-Chêne,2
991,VD,5475,Chavannes-le-Veyron,2
992,VD,5627,Chavannes-près-Renens,1
993,VD,5665,Chavannes-sur-Moudon,2
994,VD,5749,Chavornay,2
995,VD,5908,Chêne-Pâquier,2
996,VD,5909,Cheseaux-Noréaz,2
997,VD,5582,Cheseaux-sur-Lausanne,1
998,VD,5709,Chéserex,1
999,VD,5403,Chessel,2
1000,VD,5476,Chevilly,2
1001,VD,5813,Chevroux,2
1002,VD,5601,Chexbres,1
1003,VD,5628,Chigny,1
1004,VD,5629,Clarmont,1
1005,VD,5710,Coinsins,1
1006,VD,5711,Commugny,1
1007,VD,5554,Concise,2
1008,VD,5712,Coppet,1
1009,VD,5404,Corbeyrier,2
1010,VD,5785,Corcelles-le-Jorat,2
1011,VD,5555,Corcelles-près-Concise,2
1012,VD,5816,Corcelles-près-Payerne,2
1013,VD,5883,Corseaux,1
1014,VD,5884,Corsier-sur-Vevey,1
1015,VD,5477,Cossonay,2
1016,VD,5713,Crans (VD),1
1017,VD,5714,Crassier,1
1018,VD,5583,Crissier,1
1019,VD,5910,Cronay,2
1020,VD,5752,Croy,2
1021,VD,5479,Cuarnens,2
1022,VD,5911,Cuarny,2
1023,VD,5456,Cudrefin,2
1024,VD,5516,Cugy (VD),2
1025,VD,5669,Curtilles,2
1026,VD,5480,Daillens,2
1027,VD,5912,Démoret,2
1028,VD,5631,Denens,1
1029,VD,5632,Denges,1
1030,VD,5481,Dizy,2
1031,VD,5671,Dompierre (VD),2
1032,VD,5913,Donneloye,2
1033,VD,5715,Duillier,1
1034,VD,5855,Dully,1
1035,VD,5518,Échallens,2
1036,VD,5633,Échandens,1
1037,VD,5634,Échichens,1
1038,VD,5482,Éclépens,2
1039,VD,5635,Écublens (VD),1
1040,VD,5584,Épalinges,1
1041,VD,5914,Épendes (VD),2
1042,VD,5856,Essertines-sur-Rolle,1
1043,VD,5520,Essertines-sur-Yverdon,2
1044,VD,5521,Étagnières,2
1045,VD,5636,Étoy,1
1046,VD,5716,Eysins,1
1047,VD,5458,Faoug,2
1048,VD,5427,Féchy,1
1049,VD,5483,Ferreyres,2
1050,VD,5522,Fey,2
1051,VD,5556,Fiez,2
1052,VD,5557,Fontaines-sur-Grandson,2
1053,VD,5604,Forel (Lavaux),1
1054,VD,5717,Founex,1
1055,VD,5523,Froideville,2
1056,VD,5718,Genolier,1
1057,VD,5559,Giez,2
1058,VD,5857,Gilly,1
1059,VD,5428,Gimel,1
1060,VD,5719,Gingins,1
1061,VD,5720,Givrins,1
1062,VD,5721,Gland,1
1063,VD,5484,Gollion,2
1064,VD,5541,Goumoëns,2
1065,VD,5485,Grancy,2
1066,VD,5817,Grandcour,2
1067,VD,5560,Grandevent,2
1068,VD,5561,Grandson,2
1069,VD,5722,Grens,1
1070,VD,5405,Gryon,2
1071,VD,5656,Hautemorges,2
1072,VD,5819,Henniez,2
1073,VD,5673,Hermenches,2
1074,VD,5885,Jongny,1
1075,VD,5804,Jorat-Menthue,2
1076,VD,5806,Jorat-Mézières,2
1077,VD,5585,Jouxtens-Mézery,1
1078,VD,5754,Juriens,2
1079,VD,5871,L’Abbaye,2
1080,VD,5741,L’Abergement,2
1081,VD,5486,L’Isle,2
1082,VD,5474,La Chaux (Cossonay),2
1083,VD,5758,La Praz,2
1084,VD,5726,La Rippe,1
1085,VD,5498,La Sarraz,2
1086,VD,5889,La Tour-de-Peilz,1
1087,VD,5586,Lausanne,1
1088,VD,5406,Lavey-Morcles,2
1089,VD,5637,Lavigny,1
1090,VD,5872,Le Chenit,2
1091,VD,5873,Le Lieu,2
1092,VD,5587,Le Mont-sur-Lausanne,1
1093,VD,5731,Le Vaud,1
1094,VD,5750,Les Clées,2
1095,VD,5407,Leysin,2
1096,VD,5755,Lignerolle,2
1097,VD,5638,Lonay,1
1098,VD,5429,Longirod,1
1099,VD,5674,Lovatens,2
1100,VD,5675,Lucens,2
1101,VD,5858,Luins,1
1102,VD,5639,Lully (VD),1
1103,VD,5487,Lussery-Villars,2
1104,VD,5640,Lussy-sur-Morges,1
1105,VD,5606,Lutry,1
1106,VD,5790,Maracon,2
1107,VD,5430,Marchissy,1
1108,VD,5919,Mathod,2
1109,VD,5562,Mauborget,2
1110,VD,5488,Mauraz,2
1111,VD,5489,Mex (VD),2
1112,VD,5723,Mies,1
1113,VD,5821,Missy,2
1114,VD,5490,Moiry,2
1115,VD,5431,Mollens (VD),1
1116,VD,5921,Molondin,2
1117,VD,5922,Montagny-près-Yverdon,2
1118,VD,5693,Montanaire,2
1119,VD,5756,Montcherand,2
1120,VD,5540,Montilliez,2
1121,VD,5491,Mont-la-Ville,2
1122,VD,5792,Montpreveyres,2
1123,VD,5886,Montreux,1
1124,VD,5492,Montricher,2
1125,VD,5859,Mont-sur-Rolle,1
1126,VD,5642,Morges,1
1127,VD,5527,Morrens (VD),2
1128,VD,5678,Moudon,2
1129,VD,5563,Mutrux,2
1130,VD,5564,Novalles,2
1131,VD,5408,Noville,2
1132,VD,5724,Nyon,1
1133,VD,5680,Ogens,2
1134,VD,5409,Ollon,2
1135,VD,5565,Onnens (VD),2
1136,VD,5923,Oppens,2
1137,VD,5757,Orbe,2
1138,VD,5924,Orges,2
1139,VD,5410,Ormont-Dessous,2
1140,VD,5411,Ormont-Dessus,2
1141,VD,5493,Orny,2
1142,VD,5805,Oron,2
1143,VD,5925,Orzens,2
1144,VD,5529,Oulens-sous-Echallens,2
1145,VD,5530,Pailly,2
1146,VD,5588,Paudex,1
1147,VD,5822,Payerne,2
1148,VD,5495,Penthalaz,2
1149,VD,5496,Penthaz,2
1150,VD,5531,Penthéréaz,2
1151,VD,5860,Perroy,1
1152,VD,5533,Poliez-Pittet,2
1153,VD,5497,Pompaples,2
1154,VD,5926,Pomy,2
1155,VD,5725,Prangins,1
1156,VD,5759,Premier,2
1157,VD,5643,Préverenges,1
1158,VD,5683,Prévonloup,2
1159,VD,5589,Prilly,1
1160,VD,5566,Provence,2
1161,VD,5607,Puidoux,1
1162,VD,5590,Pully,1
1163,VD,5760,Rances,2
1164,VD,5591,Renens (VD),1
1165,VD,5412,Rennaz,2
1166,VD,5609,Rivaz,1
1167,VD,5413,Roche (VD),2
1168,VD,5861,Rolle,1
1169,VD,5761,Romainmôtier-Envy,2
1170,VD,5592,Romanel-sur-Lausanne,1
1171,VD,5645,Romanel-sur-Morges,1
1172,VD,5798,Ropraz,2
1173,VD,5684,Rossenges,2
1174,VD,5842,Rossinière,2
1175,VD,5843,Rougemont,2
1176,VD,5928,Rovray,2
1177,VD,5534,Rueyres,2
1178,VD,5535,Saint-Barthélemy (VD),2
1179,VD,5727,Saint-Cergue,1
1180,VD,5568,Sainte-Croix,2
1181,VD,5434,Saint-George,1
1182,VD,5435,Saint-Livres,1
1183,VD,5436,Saint-Oyens,1
1184,VD,5646,Saint-Prex,1
1185,VD,5610,Saint-Saphorin (Lavaux),1
1186,VD,5648,Saint-Sulpice (VD),1
1187,VD,5437,Saubraz,1
1188,VD,5611,Savigny,1
1189,VD,5499,Senarclens,2
1190,VD,5762,Sergey,2
1191,VD,5799,Servion,2
1192,VD,5728,Signy-Avenex,1
1193,VD,5929,Suchy,2
1194,VD,5501,Sullens,2
1195,VD,5930,Suscévaz,2
1196,VD,5688,Syens,2
1197,VD,5729,Tannay,1
1198,VD,5862,Tartegnin,1
1199,VD,5571,Tévenon,2
1200,VD,5649,Tolochenaz,1
1201,VD,5730,Trélex,1
1202,VD,5827,Trey,2
1203,VD,5931,Treycovagnes,2
1204,VD,5828,Treytorrens (Payerne),2
1205,VD,5932,Ursins,2
1206,VD,5831,Valbroye,2
1207,VD,5933,Valeyres-sous-Montagny,2
1208,VD,5763,Valeyres-sous-Rances,2
1209,VD,5934,Valeyres-sous-Ursins,2
1210,VD,5764,Vallorbe,2
1211,VD,5765,Vaulion,2
1212,VD,5650,Vaux-sur-Morges,1
1213,VD,5890,Vevey,1
1214,VD,5891,Veytaux,1
1215,VD,5732,Vich,1
1216,VD,5935,Villars-Épeney,2
1217,VD,5690,Villars-le-Comte,2
1218,VD,5537,Villars-le-Terroir,2
1219,VD,5651,Villars-Sainte-Croix,1
1220,VD,5652,Villars-sous-Yens,1
1221,VD,5830,Villarzel,2
1222,VD,5414,Villeneuve (VD),2
1223,VD,5863,Vinzel,1
1224,VD,5539,Vuarrens,2
1225,VD,5692,Vucherens,2
1226,VD,5503,Vufflens-la-Ville,2
1227,VD,5653,Vufflens-le-Château,1
1228,VD,5937,Vugelles-La Mothe,2
1229,VD,5766,Vuiteboeuf,2
1230,VD,5803,Vulliens,2
1231,VD,5654,Vullierens,1
1232,VD,5464,Vully-les-Lacs,2
1233,VD,5655,Yens,1
1234,VD,5938,Yverdon-les-Bains,2
1235,VD,5939,Yvonand,2
1236,VD,5415,Yvorne,2
1237,VS,6101,Agarn,2
1238,VS,6102,Albinen,2
1239,VS,6252,Anniviers,2
1240,VS,6261,Arbaz,1
1241,VS,6021,Ardon,1
1242,VS,6191,Ausserberg,2
1243,VS,6082,Ayent,1
1244,VS,6281,Baltschieder,2
1245,VS,6052,Bellwald,2
1246,VS,6205,Bettmeralp,2
1247,VS,6054,Binn,2
1248,VS,6172,Bister,2
1249,VS,6173,Bitsch,2
1250,VS,6192,Blatten,2
1251,VS,6032,Bourg-Saint-Pierre,1
1252,VS,6131,Bovernier,1
1253,VS,6002,Brig-Glis,2
1254,VS,6193,Bürchen,2
1255,VS,6232,Chalais,1
1256,VS,6022,Chamoson,1
1257,VS,6151,Champéry,1
1258,VS,6235,Chippis,1
1259,VS,6152,Collombey-Muraz,1
1260,VS,6211,Collonges,1
1261,VS,6023,Conthey,1
1262,VS,6253,Crans-Montana,1
1263,VS,6212,Dorénaz,1
1264,VS,6004,Eggerberg,2
1265,VS,6194,Eischoll,2
1266,VS,6282,Eisten,2
1267,VS,6283,Embd,2
1268,VS,6104,Ergisch,2
1269,VS,6056,Ernen,2
1270,VS,6213,Évionnaz,1
1271,VS,6083,Évolène,2
1272,VS,6195,Ferden,2
1273,VS,6057,Fiesch,2
1274,VS,6058,Fieschertal,2
1275,VS,6214,Finhaut,1
1276,VS,6133,Fully,1
1277,VS,6118,Gampel-Bratsch,2
1278,VS,6077,Goms,2
1279,VS,6285,Grächen,2
1280,VS,6177,Grengiols,2
1281,VS,6263,Grimisuat,1
1282,VS,6238,Grône,1
1283,VS,6117,Guttet-Feschel,2
1284,VS,6084,Hérémence,2
1285,VS,6239,Icogne,1
1286,VS,6109,Inden,2
1287,VS,6134,Isérables,1
1288,VS,6197,Kippel,2
1289,VS,6286,Lalden,2
1290,VS,6061,Lax,2
1291,VS,6240,Lens,1
1292,VS,6110,Leuk,2
1293,VS,6111,Leukerbad,2
1294,VS,6135,Leytron,1
1295,VS,6033,Liddes,1
1296,VS,6136,Martigny,1
1297,VS,6137,Martigny-Combe,1
1298,VS,6215,Massongex,1
1299,VS,6153,Monthey,1
1300,VS,6090,Mont-Noble,2
1301,VS,6203,Mörel-Filet,2
1302,VS,6007,Naters,2
1303,VS,6024,Nendaz,1
1304,VS,6198,Niedergesteln,2
1305,VS,6254,Noble-Contrée,1
1306,VS,6112,Oberems,2
1307,VS,6076,Obergoms,2
1308,VS,6034,Orsières,1
1309,VS,6154,Port-Valais,1
1310,VS,6287,Randa,2
1311,VS,6199,Raron,2
1312,VS,6139,Riddes,1
1313,VS,6008,Ried-Brig,2
1314,VS,6181,Riederalp,2
1315,VS,6288,Saas-Almagell,2
1316,VS,6289,Saas-Balen,2
1317,VS,6290,Saas-Fee,2
1318,VS,6291,Saas-Grund,2
1319,VS,6140,Saillon,1
1320,VS,6155,Saint-Gingolph,1
1321,VS,6246,Saint-Léonard,1
1322,VS,6087,Saint-Martin (VS),2
1323,VS,6217,Saint-Maurice,1
1324,VS,6113,Salgesch,2
1325,VS,6218,Salvan,1
1326,VS,6265,Savièse,1
1327,VS,6141,Saxon,1
1328,VS,6035,Sembrancher,1
1329,VS,6248,Sierre,1
1330,VS,6009,Simplon,2
1331,VS,6266,Sion,1
1332,VS,6292,St. Niklaus,2
1333,VS,6293,Stalden (VS),2
1334,VS,6294,Staldenried,2
1335,VS,6204,Steg-Hohtenn,2
1336,VS,6295,Täsch,2
1337,VS,6010,Termen,2
1338,VS,6296,Törbel,2
1339,VS,6142,Trient,1
1340,VS,6156,Troistorrents,1
1341,VS,6119,Turtmann-Unterems,2
1342,VS,6201,Unterbäch,2
1343,VS,6037,Val de Bagnes,1
1344,VS,6157,Val-d’Illiez,1
1345,VS,6116,Varen,2
1346,VS,6219,Vernayaz,1
1347,VS,6220,Vérossaz,1
1348,VS,6025,Vétroz,1
1349,VS,6089,Vex,2
1350,VS,6267,Veysonnaz,1
1351,VS,6158,Vionnaz,1
1352,VS,6297,Visp,2
1353,VS,6298,Visperterminen,2
1354,VS,6159,Vouvry,1
1355,VS,6202,Wiler (Lötschen),2
1356,VS,6299,Zeneggen,2
1357,VS,6300,Zermatt,2
1358,VS,6011,Zwischbergen,2
1359,ZH,131,Adliswil,2
1360,ZH,241,Aesch (ZH),3
1361,ZH,1,Aeugst am Albis,3
1362,ZH,2,Affoltern am Albis,3
1363,ZH,211,Altikon,3
1364,ZH,291,Andelfingen,3
1365,ZH,51,Bachenbülach,3
1366,ZH,81,Bachs,3
1367,ZH,111,Bäretswil,3
1368,ZH,52,Bassersdorf,3
1369,ZH,297,Bauma,3
1370,ZH,22,Benken (ZH),3
1371,ZH,23,Berg am Irchel,3
1372,ZH,242,Birmensdorf (ZH),3
1373,ZH,3,Bonstetten,3
1374,ZH,82,Boppelsen,3
1375,ZH,213,Brütten,3
1376,ZH,112,Bubikon,3
1377,ZH,24,Buch am Irchel,3
1378,ZH,83,Buchs (ZH),3
1379,ZH,53,Bülach,3
1380,ZH,25,Dachsen,3
1381,ZH,214,Dägerlen,3
1382,ZH,84,Dällikon,3
1383,ZH,85,Dänikon,3
1384,ZH,215,Dättlikon,3
1385,ZH,86,Dielsdorf,3
1386,ZH,243,Dietikon,2
1387,ZH,54,Dietlikon,2
1388,ZH,216,Dinhard,3
1389,ZH,26,Dorf,3
1390,ZH,191,Dübendorf,2
1391,ZH,113,Dürnten,3
1392,ZH,192,Egg,2
1393,ZH,55,Eglisau,3
1394,ZH,294,Elgg,3
1395,ZH,218,Ellikon an der Thur,3
1396,ZH,219,Elsau,3
1397,ZH,56,Embrach,3
1398,ZH,151,Erlenbach (ZH),2
1399,ZH,193,Fällanden,2
1400,ZH,172,Fehraltorf,3
1401,ZH,27,Feuerthalen,3
1402,ZH,114,Fischenthal,3
1403,ZH,28,Flaach,3
1404,ZH,29,Flurlingen,3
1405,ZH,57,Freienstein-Teufen,3
1406,ZH,244,Geroldswil,3
1407,ZH,58,Glattfelden,3
1408,ZH,115,Gossau (ZH),3
1409,ZH,194,Greifensee,2
1410,ZH,116,Grüningen,3
1411,ZH,220,Hagenbuch,3
1412,ZH,4,Hausen am Albis,3
1413,ZH,5,Hedingen,3
1414,ZH,31,Henggart,3
1415,ZH,152,Herrliberg,2
1416,ZH,221,Hettlingen,3
1417,ZH,117,Hinwil,3
1418,ZH,173,Hittnau,3
1419,ZH,59,Hochfelden,3
1420,ZH,153,Hombrechtikon,2
1421,ZH,295,Horgen,2
1422,ZH,60,Höri,3
1423,ZH,61,Hüntwangen,3
1424,ZH,87,Hüttikon,3
1425,ZH,296,Illnau-Effretikon,3
1426,ZH,6,Kappel am Albis,3
1427,ZH,135,Kilchberg (ZH),2
1428,ZH,33,Kleinandelfingen,3
1429,ZH,62,Kloten,2
1430,ZH,7,Knonau,3
1431,ZH,154,Küsnacht (ZH),2
1432,ZH,136,Langnau am Albis,3
1433,ZH,34,Laufen-Uhwiesen,3
1434,ZH,176,Lindau,3
1435,ZH,63,Lufingen,3
1436,ZH,155,Männedorf,2
1437,ZH,35,Marthalen,3
1438,ZH,8,Maschwanden,3
1439,ZH,195,Maur,2
1440,ZH,156,Meilen,2
1441,ZH,9,Mettmenstetten,3
1442,ZH,196,Mönchaltorf,2
1443,ZH,88,Neerach,3
1444,ZH,223,Neftenbach,3
1445,ZH,89,Niederglatt,3
1446,ZH,90,Niederhasli,3
1447,ZH,91,Niederweningen,3
1448,ZH,64,Nürensdorf,3
1449,ZH,65,Oberembrach,3
1450,ZH,245,Oberengstringen,3
1451,ZH,92,Oberglatt,3
1452,ZH,137,Oberrieden,3
1453,ZH,93,Oberweningen,3
1454,ZH,10,Obfelden,3
1455,ZH,157,Oetwil am See,2
1456,ZH,246,Oetwil an der Limmat,3
1457,ZH,66,Opfikon,2
1458,ZH,37,Ossingen,3
1459,ZH,94,Otelfingen,3
1460,ZH,11,Ottenbach,3
1461,ZH,177,Pfäffikon,3
1462,ZH,224,Pfungen,3
1463,ZH,67,Rafz,3
1464,ZH,95,Regensberg,3
1465,ZH,96,Regensdorf,2
1466,ZH,38,Rheinau,3
1467,ZH,138,Richterswil,2
1468,ZH,225,Rickenbach (ZH),3
1469,ZH,12,Rifferswil,3
1470,ZH,68,Rorbas,3
1471,ZH,97,Rümlang,2
1472,ZH,139,Rüschlikon,3
1473,ZH,178,Russikon,3
1474,ZH,118,Rüti (ZH),3
1475,ZH,226,Schlatt (ZH),3
1476,ZH,98,Schleinikon,3
1477,ZH,247,Schlieren,2
1478,ZH,99,Schöfflisdorf,3
1479,ZH,197,Schwerzenbach,2
1480,ZH,119,Seegräben,3
1481,ZH,227,Seuzach,3
1482,ZH,100,Stadel,3
1483,ZH,158,Stäfa,2
1484,ZH,13,Stallikon,3
1485,ZH,292,Stammheim,3
1486,ZH,101,Steinmaur,3
1487,ZH,39,Thalheim an der Thur,3
1488,ZH,141,Thalwil,2
1489,ZH,40,Trüllikon,3
1490,ZH,41,Truttikon,3
1491,ZH,228,Turbenthal,3
1492,ZH,159,Uetikon am See,2
1493,ZH,248,Uitikon,3
1494,ZH,249,Unterengstringen,3
1495,ZH,250,Urdorf,2
1496,ZH,198,Uster,2
1497,ZH,43,Volken,3
1498,ZH,199,Volketswil,2
1499,ZH,293,Wädenswil,2
1500,ZH,120,Wald (ZH),3
1501,ZH,69,Wallisellen,2
1502,ZH,200,Wangen-Brüttisellen,2
1503,ZH,70,Wasterkingen,3
1504,ZH,102,Weiach,3
1505,ZH,251,Weiningen (ZH),3
1506,ZH,180,Weisslingen,3
1507,ZH,14,Wettswil am Albis,3
1508,ZH,121,Wetzikon (ZH),3
1509,ZH,298,Wiesendangen,3
1510,ZH,71,Wil (ZH),3
1511,ZH,181,Wila,3
1512,ZH,182,Wildberg,3
1513,ZH,72,Winkel,3
1514,ZH,230,Winterthur,2
1515,ZH,231,Zell (ZH),3
1516,ZH,161,Zollikon,2
1517,ZH,160,Zumikon,2
1518,ZH,261,Zürich,1
